pay_period,start_date,end_date,telework_hours,telework_hours_2_periods
PP2,2024-12-29,2025-01-11,0,0
PP3,2025-01-12,2025-01-25,0,0
PP4,2025-01-26,2025-02-08,0,0
PP5,2025-02-09,2025-02-22,0,0
PP6,2025-02-23,2025-03-08,0,0
PP7,2025-03-09,2025-03-22,0,0
PP8,2025-03-23,2025-04-05,0,0
PP9,2025-04-06,2025-04-19,0,0
PP10,2025-04-20,2025-05-03,0,0
PP11,2025-05-04,2025-05-17,0,0
PP12,2025-05-18,2025-05-31,0,0
PP13,2025-06-01,2025-06-14,0,0
PP14,2025-06-15,2025-06-28,0,114
PP15,2025-06-29,2025-07-12,114,115
PP16,2025-07-13,2025-07-26,1,122
PP17,2025-07-27,2025-08-09,7,8
PP18,2025-08-10,2025-08-23,0,7
PP19,2025-08-24,2025-09-06,0,0
PP20,2025-09-07,2025-09-20,0,7
PP21,2025-09-21,2025-10-04,7,7
PP22,2025-10-05,2025-10-18,0,15
PP23,2025-10-19,2025-11-01,8,8
PP24,2025-11-02,2025-11-15,0,15
PP25,2025-11-16,2025-11-29,7,7
PP26,2025-11-30,2025-12-13,0,7
